,Date -Sampled-,Sample Site,County,Sample Type,Latitude,Longitude,Zone,Sample Week,Sample Month,Sample Year,DA Event
0,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
1,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
2,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
3,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
4,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
5,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
6,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
7,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
8,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
9,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
10,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
11,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
12,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
13,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
14,2000-11-17,"Humboldt County, OFFSHORE",Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A,46,11,2000,0
