,Date -Sampled-,Sample Site,Mod-ASP,ASP -ug/g-,County,Sample Type,Latitude,Longitude,Zone
0,2000-07-21,Santa Barbara Channel,<,1.0,Santa Barbara,"Crab, Red Rock, viscera",34.351,-119.687,
1,2000-11-17,"Humboldt County, OFFSHORE",,10.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
2,2000-11-17,"Humboldt County, OFFSHORE",,9.2,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
3,2000-11-17,"Humboldt County, OFFSHORE",,2.6,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
4,2000-11-17,"Humboldt County, OFFSHORE",,10.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
5,2000-11-17,"Humboldt County, OFFSHORE",,2.5,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
6,2000-11-17,"Humboldt County, OFFSHORE",<,1.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
7,2000-11-17,"Humboldt County, OFFSHORE",,1.1,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
8,2000-11-17,"Humboldt County, OFFSHORE",,3.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
9,2000-11-17,"Humboldt County, OFFSHORE",,7.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
10,2000-11-17,"Humboldt County, OFFSHORE",,4.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
11,2000-11-17,"Humboldt County, OFFSHORE",,15.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
12,2000-11-17,"Humboldt County, OFFSHORE",,14.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
13,2000-11-17,"Humboldt County, OFFSHORE",,5.2,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
14,2000-11-17,"Humboldt County, OFFSHORE",,5.2,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
15,2000-11-17,"Humboldt County, OFFSHORE",,4.9,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
16,2000-11-17,"Humboldt County, OFFSHORE",,3.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
17,2000-11-17,"Humboldt County, OFFSHORE",,9.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
18,2000-11-17,"Humboldt County, OFFSHORE",,11.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
19,2000-11-17,"Humboldt County, OFFSHORE",,18.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
20,2000-11-17,"Humboldt County, OFFSHORE",,11.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
21,2002-03-15,"Half Moon Bay, offshore",<,1.0,San Mateo,"Crab, Dungeness, viscera",37.4976,-122.5406,
22,2002-03-15,"Half Moon Bay, offshore",<,1.0,San Mateo,"Crab, Red Rock, viscera",37.4976,-122.5406,
23,2002-03-15,"Half Moon Bay, offshore",<,1.0,San Mateo,"Crab, Red Rock, viscera",37.4976,-122.5406,
24,2002-04-10,"Port San Luis, Commercial Pier",<,1.0,San Luis Obispo,"Crab, Red Rock, viscera",35.167357,-120.755386,
25,2002-04-10,"Port San Luis, Commercial Pier",,2.1,San Luis Obispo,"Crab, Red Rock, viscera",35.167357,-120.755386,
26,2002-04-10,"Port San Luis, Commercial Pier",,3.6,San Luis Obispo,"Crab, Red Rock, viscera",35.167357,-120.755386,
27,2002-04-13,"Ventura, Pt. Hueneme E. Jetty",<,1.0,Ventura,"Crab, Spider, viscera",34.153554,-119.229999,
28,2002-05-04,"Santa Barbara Ch., Plt. Gina",,28.0,Santa Barbara,"Crab, Brown Rock, viscera",34.1175,-119.27633,
29,2002-05-07,"San Diego, Ocean Beach Pier",,63.0,San Diego,"Crab, Pelagic Red",32.7481,-117.2533,
30,2002-05-07,"San Diego, Ocean Beach Pier",,75.0,San Diego,"Crab, Pelagic Red",32.7481,-117.2533,
31,2002-05-07,"San Diego, Mission Bay",,23.0,San Diego,"Crab, Pelagic Red",32.71906,-117.25556,
32,2002-05-27,San Nicolas Island,,295.0,Los Angeles,"Crab, Pelagic Red",33.2296,-119.4203,
33,2002-05-27,San Nicolas Island,,374.0,Los Angeles,"Crab, Pelagic Red",33.2296,-119.4203,
34,2002-05-31,Portuguese Bend,,270.0,Los Angeles,"Crab, Pelagic Red",33.7369,-118.3588,
35,2002-06-06,Royal Palms Beach,,200.0,Los Angeles,"Crab, Pelagic Red",33.708493,-118.298472,
36,2002-06-06,Royal Palms Beach,,55.0,Los Angeles,"Pelagic Red Crab, tail",33.708493,-118.298472,
37,2002-06-06,Royal Palms Beach,,210.0,Los Angeles,"Pelagic Red Crab, head",33.708493,-118.298472,
38,2002-06-06,Cabrillo Beach,,160.0,Los Angeles,"Crab, Pelagic Red",33.7113,-118.2817,
39,2002-06-06,Cabrillo Beach,,55.0,Los Angeles,"Pelagic Red Crab, tail",33.7113,-118.2817,
40,2002-06-06,Cabrillo Beach,,240.0,Los Angeles,"Pelagic Red Crab, head",33.7113,-118.2817,
41,2002-06-12,Cabrillo Beach,,160.0,Los Angeles,"Crab, Pelagic Red",33.7113,-118.2817,
42,2002-06-12,Cabrillo Beach,,38.0,Los Angeles,"Pelagic Red Crab, tail",33.7113,-118.2817,
43,2002-06-12,Cabrillo Beach,,170.0,Los Angeles,"Pelagic Red Crab, head",33.7113,-118.2817,
44,2002-06-16,"San Nicolas Island, Redeye Bch",,98.0,Los Angeles,"Crab, Pelagic Red",33.2296,-119.4203,
45,2002-06-16,"San Nicolas Island, Redeye Bch",,81.0,Los Angeles,"Crab, Pelagic Red",33.2296,-119.4203,
46,2002-07-10,"Santa Cruz Is., Scorpion Anch.",,120.0,Ventura,"Crab, Pelagic Red",34.052,-119.5442,
47,2003-10-29,"Drakes Bay, Chimney Rock LBS",<,1.0,Marin,"Crab, Red Rock, viscera",37.994808,-122.973274,
48,2003-10-29,"Drakes Bay, Chimney Rock LBS",,41.0,Marin,"Crab, Red Rock, viscera",37.994808,-122.973274,
